Restaurant Name,Location,Cuisine,Price,"Ratings(Dining, Delivery)",Operating Hours,Contact,More Info
Molecule Air Bar and Kitchen,"5th Floor, Molecule Kanpur, Virendra Smriti Complex, Mall Road, Civil Lines, Kanpur, Uttar Pradesh, Mall Road, Kanpur","North Indian, Chinese, Continental","₹2,200 for two","4.4, -",Opens at 12noon,+919919443555,"Full Bar Available, Indoor Seating"
Amritsari Haveli,"122/67, Sarojini Nagar, Lajpat Nagar, Kanpur","North Indian, Biryani, Continental, Chinese, Mughlai, Cafe","₹1,700 for two","3.9, 3.9",Opens at 12noon,+918081316504,"Home Delivery, Takeaway Available, Wheelchair Accessible, Valet Parking Available, Romantic Dining, Luxury Dining, Indoor Seating, Family Friendly"
Flavours Of Cawnpore,"3/108, Ambedkarpuram, Keshavpuram, Kanpur","North Indian, Chinese, Biryani, Momos, Fast Food, Salad, Desserts, Beverages",₹800 for two,"4.2, 4.2",Opens at 12noon,+919838108900,"Home Delivery, Takeaway Available, Luxury Dining, Indoor Seating, Serves Non Veg"
Studio XO Bar,"5th, Virendra Smriti, Civil Lines, Mall Road, Kanpur","North Indian, Chinese, Pizza",₹200 for two,"3.9, New",24 Hours (Today),+919794452444,"Home Delivery, Serves Alcohol, Indoor Seating"
WOW! Momo,"Shop 1/13/301, Govind Nagar, Nandlal Chawraha, Kanpur","Momos, Chinese, Fast Food, Asian, Beverages, Fried Momo, Chicken Momos, Mojito, Tandoori Momos",₹400 for two,"4.1, 4.1",9am – 5am (Today),+91919836198361,"Home Delivery, Takeaway Available, Indoor Seating"
Offline Cafe,"10/503, Khalasi Line, Tilak Nagar, Kanpur","Cafe, North Indian, Fast Food, Shake, Desserts, Italian, Burger, Pizza, Tawa Chicken, Nachos, Shakes, Coffee, White Sauce Pasta, Burgers",₹450 for two,"4.0, 3.8",24 Hours (Today),+917617071717,"Home Delivery, Takeaway Available, Indoor Seating, Street Parking, Table booking recommended, Live Music"
Sidewalk Bakehouse & Cafe,"7/178, A 1, Ground Floor, Swaroop Nagar, Kanpur","Continental, Seafood, Italian, Mexican, Bakery, Desserts, Coffee, Beverages","₹1,300 for two","4.2, 4.1",Opens at 8:30am,+918303001717,"Home Delivery, Takeaway Available, Restroom available, Outdoor Seating, Romantic Dining, Stags Allowed, Indoor Seating, Table booking recommended, Kid Friendly, Family Friendly"
Aviary Cocktail Nest,"122/732/733, Shastri Nagar, Kanpur","North Indian, Biryani, Italian, Asian, Pizza, Desserts","₹1,500 for two","4.9, 4.0",Opens at 12noon,+917991565477,"Takeaway Available, Full Bar Available, Restroom available, Gin Bar, Family Friendly, Celebrity Frequented, Romantic Dining, Serves Cocktails, Indoor Seating, Table booking recommended, Nightlife, Kid Friendly, Luxury Dining, Craft Beer, Work Friendly, Resto Bar, Live Music, Live Sports Screening"
Romeo Lane,"C-2, Emerald Garden, Khalasi Line, Near Reliance Trends, Tilak Nagar, Kanpur","Italian, Continental, North Indian, Biryani, Chinese, Sushi, Salad, Desserts","₹1,800 for two","3.6, -",Opens at 12noon,+917518202503,"Takeaway Available, Indoor Seating, Romantic Dining"
