Restaurant Name,Location,Contact,Menu,Cuisine,Price,"Ratings(Dining, Delivery)",Operating Hours,More Info
Aviary Cocktail Nest,"122/732/733, Shastri Nagar Near Aman Telecom Central Kanpur 208005",,"[{'item': 'Masala Served Pinwheel Pan', 'price': '₹465'}, {'item': 'Andoori Chicken &', 'price': '₹545'}, {'item': 'Ellini', 'price': '₹515'}, {'item': 'On Burra )', 'price': '₹595'}, {'item': 'Scallion And Black Mushroom 395 415 425 465 495 515 525', 'price': '₹575'}, {'item': 'Yle', 'price': '₹595'}, {'item': 'Andoori Chicken', 'price': '₹695'}, {'item': 'Alian Pepperoni 745 Soup', 'price': '₹295'}, {'item': ""'Salad Aviary Caesar Veg Salad &"", 'price': '₹375'}, {'item': 'H Aviary Caesar Non-Veg Salad Ais Poached Chicken Salad', 'price': '₹425'}, {'item': 'Chicken', 'price': '₹595'}, {'item': 'Ish 645 Y Prawns', 'price': '₹715'}, {'item': 'Chicken)', 'price': '₹425'}, {'item': '645 Udon Noodles', 'price': '₹450'}, {'item': 'Able', 'price': '₹545'}, {'item': 'Hick Grilled Chicken &', 'price': '₹595'}, {'item': 'Ish', 'price': '₹645'}, {'item': 'Hx Are As Applicable We Levy', 'price': '₹10'}, {'item': 'Adka', 'price': '₹395'}, {'item': 'Oes And Indian Spices Dal Makhani &', 'price': '₹425'}, {'item': 'Sari Pindi Chole', 'price': '₹425'}, {'item': 'Ala', 'price': '₹415'}, {'item': 'Ion In Yellow Gravy Kadhai Paneer', 'price': '₹495'}, {'item': 'H Cashew And Cream Gravy Soya Chaap Masala', 'price': '₹495'}, {'item': 'Soya Chaap Cooked In A Spicy Masala Gravy Paneer Makhani', 'price': '₹525'}, {'item': 'Aban Kukkad', 'price': '₹545'}, {'item': 'Awa Masala', 'price': '₹545'}, {'item': 'Er Chicken', 'price': '₹565'}, {'item': 'Awa Masala Gravy', 'price': '₹565'}, {'item': 'Axes Are As Applicable. We Levy', 'price': '₹10'}, {'item': 'E Rum... 30Ml 275 275 345', 'price': '₹345'}, {'item': 'Iddich', 'price': '₹12'}, {'item': '18 Yrs...... 30Ml 475 475 515 515 525 725', 'price': '₹725'}, {'item': 'L 5245 5245 6295 6295 Br 7275 7275 8745 8745 9715 10995', 'price': '₹1099'}, {'item': 'Er. 125 145 145 175 175', 'price': '₹165'}, {'item': '245', 'price': '₹375'}, {'item': 'Axes Are As Applicable. We Levy', 'price': '₹10'}, {'item': 'H Lime. Paan Syrup & Lemonade 845 845 845', 'price': '₹845'}, {'item': 'Axes Are As Applicable. We Levy', 'price': '₹10'}, {'item': 'Whisky', 'price': '₹30'}, {'item': 'Ional Wiccicsccnsnnnn 245 4745 Black Dog 8Yrs......-. Ms A. 245', 'price': '₹4745'}, {'item': ""'S Highland Cream....... 245"", 'price': '₹4745'}, {'item': 'Cninnsnennnnnnn 265', 'price': '₹4945'}, {'item': 'Z 265', 'price': '₹4945'}, {'item': 'N . 285 5195 295 5395 295 5395 305 5595 100 Pipers', 'price': '₹12'}, {'item': 'American Whiskey', 'price': '₹30'}, {'item': '265', 'price': '₹4945'}, {'item': 'Si 4945 Jack Daniels No7', 'price': '₹6495'}, {'item': 'Axes Are As Applicable. We Levy', 'price': '₹10'}, {'item': 'Cii Jw Gold. - 3 445 Chivas', 'price': '₹18'}, {'item': 'E 21 . 945', 'price': '₹30'}, {'item': 'Ch 30Ml Chivas Regal 12Yrs', 'price': '₹355'}, {'item': '355 Monkey Shoulder.....Scccneeseneeenene 365 Sw Double Black....Ccsssscesssseenssnne', 'price': '₹425'}, {'item': 'L 8995 9995 20995', 'price': '₹2099'}, {'item': 'L 7245 7245 7495', 'price': '₹7745'}, {'item': 'Cher 675', 'price': '₹3245'}, {'item': 'E. Wine 675', 'price': '₹3245'}, {'item': 'Ower', 'price': '₹1495'}, {'item': 'Sambuca & Vodka Jagerbomb', 'price': '₹625'}, {'item': 'H Rei B52', 'price': '₹525'}, {'item': 'Ace', 'price': '₹425'}, {'item': 'Isher Premium............ 325', 'price': '₹1865'}, {'item': 'Ra. 345 1975 Budweiser... 345 1975 Bira', 'price': '₹91'}, {'item': 'E', 'price': '₹375'}, {'item': 'Ed Brews 425 2425 425', 'price': '₹2425'}, {'item': '695', 'price': '₹3395'}, {'item': 'Noir', 'price': '₹4495'}, {'item': '& Chandon. 9995 Gh Mumm Cordon Rouge', 'price': '₹9995'}, {'item': 'L Sula (India)..... Pore 292 2905 Jacobs Creek Cusine . 628', 'price': '₹2904'}, {'item': 'Rica) .Wsinee 3445 Campo Viejo (Spain)', 'price': '₹4195'}, {'item': 'Axes Are As Applicable. We Levy', 'price': '₹10'}, {'item': '295', 'price': '₹1675'}, {'item': 'Ies W', 'price': '₹30'}, {'item': 'Rosso Campari. 395 & O Oin Mm', 'price': '₹30'}, {'item': 'Er London Dry Gin... 275', 'price': '₹4995'}, {'item': ""Anqueray. 305 5295 Bombay Sapphire... 315 5395 Hendrick'S.. 355 6695 Monkey"", 'price': '₹47'}, {'item': 'Wald 795 9795 Dry Gin... O. Vodka', 'price': '₹30'}, {'item': 'Lavors. 245', 'price': '₹5245'}, {'item': 'El One... 255 5345 Ciroc.... 355 6775 Belvedere. 365 6995 Grey Goose. 365', 'price': '₹6995'}, {'item': 'Axes Are As Applicable. We Levy', 'price': '₹10'}, {'item': 'Lime & Orange Curacao 645 645 645 645 645 645 645 625 625 625 625', 'price': '₹625'}]","Italian, North Indian",₹1500 for two,4.5 • 746 in Google •,"CLOSED, OPENS AT 12PM","Reservation available, SwiggyPay accepted"
Aviary Cocktail Nest,"122/732/733, Shastri Nagar, Kanpur",917991565477.0,,"North Indian, Biryani, Italian, Asian, Pizza, Desserts","₹1,500 for two","4.9, 4.0",12noon – 1am (Today),
BBQ Farm,"Plot No.123/131, Gadarianpurwa, Pratapganj,, Shastri Nagar, Fazalganj, Kanpur, Uttar Pradesh",,[],Continental,₹400 for two,-- • too few ratings •,"CLOSED, OPENS AT 11AM","Parking available, SwiggyPay accepted, Halal for meat"
Bajpai Sweets And Restaurant,"Gumti No.5, Darshan Purwa, Lajpat Nagar Near Bank Of Baroda, Central Kanpur 208012",,"[{'item': 'Rown', 'price': '₹69'}, {'item': 'Ye Wean Wale Miwon', 'price': '₹19'}, {'item': '7 297', 'price': '₹69'}, {'item': '29 497', 'price': '₹49'}]",South Indian,₹200 for two,4 • 75 in Google •,"CLOSED, OPENS AT 7AM","Reservation available, Free wifi, SwiggyPay accepted"
Banshi dugdh bhandar,"107/181,Sishamau Bazar Nehru Nagar Road Near Zudio, South Kanpur 208012",,[],Desserts,₹400 for two,4.4 • 88 in Google •,"CLOSED, OPENS AT 8:30AM","Reservation available, SwiggyPay accepted"
Bella,"7/17-1, Zone 16, Parwati Bagla Road, Tilak Nagar, Kanpur",917706000660.0,,"North Indian, Fast Food, Chinese","₹1,400 for two","4.0, 4.0","12midnight – 12:45am, 12noon – 12midnight (Today)","Home Delivery, Takeaway Available, Serves Alcohol, Party Music, Nightlife, Resto Bar, Indoor Seating, Luxury Dining, Romantic Dining"
Bella,"Parvati Bagla Road, Tilak Nagar, Swaroop Nagar, Nagar Nigam Food Safety Zone-16, Kanpur, Uttar Pradesh",,[],Continental,₹1000 for two,4.1 • 198 in Google •,"CLOSED, OPENS AT 12PM","Reservation available, Parking available, Smoking area, SwiggyPay accepted"
Big Smokin Burgers,"120/868-B Ranjeet Nagar, Lajpat Nagar Central Kanpur 208027",,"[{'item': 'Ar(Ere Veg - Crispy Onion Rings (6 Pc)', 'price': '₹99'}, {'item': 'O Wedges 99 Cheese Garlic Breads (3 Pc)', 'price': '₹139'}, {'item': 'Ries', 'price': '₹109'}, {'item': 'Ries', 'price': '₹169'}, {'item': 'Ries 79 Mac N Cheese', 'price': '₹169'}, {'item': 'Er 169 Jalepeno Cheese Balls (6 Pc)', 'price': '₹149'}, {'item': 'S (4 Pcs)', 'price': '₹199'}, {'item': 'S (4 Pc)', 'price': '₹139'}, {'item': 'Rips (4 Pc) 177 Big Smoke Chicken Wings (4 Pc)', 'price': '₹189'}, {'item': 'A (3 Pes)', 'price': '₹167'}, {'item': 'Ish N Chips (3 Pcs)', 'price': '₹377'}, {'item': 'S (4 Pc)', 'price': '₹219'}, {'item': 'H Hummus', 'price': '₹339'}]",American,₹700 for two,4.2 • 52 in Google •,"CLOSED, OPENS AT 11AM","Vegan food, Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Biryani By Kilo,"122/235 A2,Ground Floor, Sarojani Nagar Thana, Fazalganj, Lajpat Nagar Near Hh Gym & Store Central Kanpur 208002",,"[{'item': '11', 'price': '₹12'}, {'item': 'Ed Almond)', 'price': '₹789'}, {'item': 'Guava Chill)', 'price': '₹89'}, {'item': 'O Blisberry Cheesecake Ice Creamusm', 'price': '₹148'}, {'item': 'Blueberry)', 'price': '₹169'}, {'item': 'Ull)', 'price': '₹379'}, {'item': 'Ry S', 'price': '₹7395'}, {'item': 'S Chicken 65 7399 O Paneer 65 7399 O Kaju Seekh', 'price': '₹399'}, {'item': 'On Seekh Kebab', 'price': '₹7599'}, {'item': 'H 2 Mii Adraki Lemonade)', 'price': '₹7610'}, {'item': 'H 2 Imli Adraki Lemonade)', 'price': '₹769'}, {'item': '1 Murg Lucknowi Biryani 7499', 'price': '₹7849'}, {'item': 'Lucknowi Biryani', 'price': '₹715'}, {'item': 'A Biryani', 'price': '₹2495'}, {'item': 'A Biryani 695', 'price': '₹7969'}]",North Indian,₹600 for two,3.9 • 636 in Google •,"CLOSED, OPENS AT 9AM","Reservation available, SwiggyPay accepted"
Chai Garam pocket Cafe,"Plot No.117.444, L Block, Navin Nagar, Kakadeo, Kanpur, Uttar Pradesh",,[],Chinese,₹700 for two,4.1 • 244 in Google •,"CLOSED, OPENS AT 10AM","Parking available, Free wifi, Smoking area, SwiggyPay accepted"
Chaiholic,"117/72, Avon Market, Ambedkar Nagar, Navin Nagar, Kakadeo North Kanpur 208025",,"[{'item': '! L Regular Chai 15) 25.85 Kadak Chai 20 30', 'price': '₹40'}, {'item': 'Adrak Chai 25 35 45 Je Chaiholic Special 25)', 'price': '₹35'}, {'item': '25 35 45 Elaichi Chai 25 35', 'price': '₹45'}, {'item': '25 40 50 Ye Badam Chai 45 55 Sk Kesar Chai 45', 'price': '₹55'}, {'item': 'Ee 30', 'price': '₹45'}, {'item': 'Ee 35', 'price': '₹50'}, {'item': 'Ee 35', 'price': '₹50'}, {'item': 'Rawberry', 'price': '₹69'}, {'item': 'Erscorch', 'price': '₹75'}, {'item': 'Oreo', 'price': '₹79'}, {'item': '79 I 2 He Bubelegud', 'price': '₹89'}, {'item': 'W Popcorn', 'price': '₹89'}, {'item': 'O 49 Blue Lagoon', 'price': '₹59'}, {'item': '65 Jr Blueberry', 'price': '₹69'}, {'item': 'Ea 74 Gbb Cunva Madness', 'price': '₹84'}, {'item': '2Pcs)', 'price': '₹20'}, {'item': 'Ee Maggi Maggi Masala', 'price': '₹55'}, {'item': 'Veggie Maggi', 'price': '₹65'}, {'item': 'Corn Maggi', 'price': '₹70'}, {'item': 'Andoori Maggi 80 Ie Cheese Maggi 80 Paneer Maggi', 'price': '₹85'}, {'item': 'Andoori Paneer 90 Paneer Cheese 90 Ym Special Maggi', 'price': '₹99'}, {'item': 'Er I', 'price': '₹20'}, {'item': 'E Brown Veg. S', 'price': '₹35'}, {'item': 'A Abe', 'price': '₹439'}, {'item': 'Andoor', 'price': '₹100'}, {'item': '10 Cheese', 'price': '₹120'}, {'item': '10 R Paneer', 'price': '₹130'}, {'item': 'R Makhni Paneer', 'price': '₹130'}, {'item': 'Paneer Cheese', 'price': '₹140'}, {'item': 'Paneer Club &', 'price': '₹160'}, {'item': 'A M 99 120 130', 'price': '₹140'}, {'item': 'Corn & Olive Makhni Paneer', 'price': '₹150'}, {'item': 'Corn & 150', 'price': '₹160'}, {'item': 'L 180 210 220 230 240 240 240', 'price': '₹260'}, {'item': 'Ries', 'price': '₹70'}, {'item': '75 Peri Peri', 'price': '₹80'}, {'item': 'Ries 89 Yum Yum Ries Hq 99 Dip 20 39', 'price': '₹60'}, {'item': '59', 'price': '₹90'}, {'item': 'Ed Garlic Bread 90', 'price': '₹150'}, {'item': 'Ick', 'price': '₹89'}, {'item': 'Edgbread 110 Kkagbread', 'price': '₹130'}, {'item': 'Veggie Grill', 'price': '₹60'}, {'item': 'Ikka 80 Kadhai Paneer 80 W& Chaiholic Special', 'price': '₹80'}, {'item': 'Ra Cheese', 'price': '₹20'}, {'item': 'Rs.89 Brownie Sundae Rs', 'price': '₹109'}, {'item': 'Brownie Rs', 'price': '₹70'}]",Italian,₹600 for two,4.4 • 214 in Google •,"CLOSED, OPENS AT 10AM","Reservation available, Free wifi, SwiggyPay accepted"
Chaunk Da Chatkara,"F8C3+W7, Kda Market, Bima Hospital Colony, Model Town, Pandu Nagar, Kanpur, Uttar Pradesh",,[],North Indian,₹800 for two,4.9 • 15 in Google •,OPEN TILL 11:59PM,"Reservation available, Parking available, Free wifi, SwiggyPay accepted"
