Restaurant Name,Location,Contact,Menu,Cuisine,Price,"Ratings(Dining, Delivery)",Operating Hours,More Info
Crystal Banquet & Rooftop,Ivth Floor And Open Terrace On Vth Floor 113/166 Swaroop Nagar Nagar Noigam Food Safety Zone-16 Kanpur Nagar,,"[{'item': 'Ies', 'price': '₹289'}, {'item': ""'Veg Main Course Subz Lazeez"", 'price': '₹259'}, {'item': 'Gravy. Sabz Banjara', 'price': '₹259'}, {'item': 'Beans & Peas Cooked In Rich Onion Gravy. Paneer Lawabdar', 'price': '₹329'}, {'item': 'Gravy. Paneer Kadhai', 'price': '₹329'}, {'item': 'Ikka Masala', 'price': '₹329'}, {'item': 'Awa Dhingri', 'price': '₹279'}, {'item': 'Adke Wali', 'price': '₹199'}, {'item': 'H Chilly Onion And Spices. Dum Ki Daal', 'price': '₹229'}, {'item': 'Sikandari Chop', 'price': '₹499'}, {'item': 'Ish Sizzler', 'price': '₹399'}, {'item': 'Ikka', 'price': '₹399'}, {'item': 'Ish Sizzler', 'price': '₹429'}, {'item': 'Sari', 'price': '₹399'}, {'item': 'Ish', 'price': '₹699'}, {'item': 'Ikka', 'price': '₹369'}, {'item': 'H Oven. Murgh Changezi', 'price': '₹369'}, {'item': 'Angri', 'price': '₹369'}, {'item': 'H Oven. Cheese Chicken', 'price': '₹379'}, {'item': 'Ish Sizzler', 'price': '₹369'}, {'item': 'H Lemon Sauce. Lemon Chicken Sizzler', 'price': '₹369'}, {'item': 'On Nalli Barra', 'price': '₹549'}, {'item': 'Non Veg Main Course Murgh Kadhai Peshawari', 'price': '₹369'}, {'item': 'Er Chicken)', 'price': '₹319'}, {'item': 'Er Naan. Murgh Awadhi Korma', 'price': '₹309'}, {'item': 'And Onion Gravy And Mild Spices Murgh Pasanda', 'price': '₹349'}, {'item': 'Ry. Murgh Lahori', 'price': '₹329'}, {'item': 'H Crushed Black Pepper. Murgh Saagwala', 'price': '₹319'}, {'item': 'Korma', 'price': '₹389'}, {'item': 'Heir Own Cardamom Pinched Juices And Marrow. Kashmiri Rogan Josh', 'price': '₹399'}, {'item': 'Adka. Shab Deg', 'price': '₹389'}, {'item': 'Ish Dariya Mahal', 'price': '₹399'}, {'item': 'Ish Goan Curry', 'price': '₹419'}, {'item': 'Eam Rice', 'price': '₹99'}, {'item': 'I Rice. Jeera Rice', 'price': '₹119'}, {'item': 'H Coriander Subz Dum Biryani', 'price': '₹139'}, {'item': 'Amily)', 'price': '₹149'}, {'item': 'Ed Papad', 'price': '₹49'}, {'item': 'Amily)', 'price': '₹209'}, {'item': 'Amily)', 'price': '₹269'}, {'item': 'Andoori Naan', 'price': '₹45'}, {'item': 'Er Naan', 'price': '₹55'}, {'item': '- Garlic Naan', 'price': '₹65'}, {'item': 'Ed Kulcha', 'price': '₹60'}, {'item': 'Onion Keema Naan', 'price': '₹90'}]","Chinese, North Indian",₹750 for two,4.6 • 30 in Google •,"CLOSED, OPENS AT 11:30AM","Reservation available, SwiggyPay accepted"
Dough Hub Pizza,"Shop No 17, Lower Ground Floor, Radiance Town, Arya Nagar Kanpur",,[],"Cheese Burst Crust, Cheese Pizza, Pizzas, Pasta",₹500 for two,4.1 • 300 in Google •,"CLOSED, OPENS AT 11AM","Parking available, SwiggyPay accepted"
Drama Go Behind The Scenes,"8, 229, Sabzi Mandi Road, Arya Nagar, Khalasi Line Near Ucco Bank Aryanagar Trijuction North Kanpur 208002",,"[{'item': 'Drama Brew Espresso Cappucino', 'price': '₹129'}, {'item': 'Rappe 2 9 Vg 169 19', 'price': '₹169'}, {'item': 'Ella 199 Greany Ored', 'price': '₹229'}, {'item': 'On Candy', 'price': '₹19'}, {'item': 'Y Brownie 229 007 James', 'price': '₹199'}, {'item': 'Eam Rice 9 Dum Rice M9 Seera Rice 189 Gravy Vy Pav 49 Cheese', 'price': '₹89'}, {'item': 'Resh', 'price': '₹299'}, {'item': 'Red', 'price': '₹299'}, {'item': 'A 299', 'price': '₹349'}, {'item': 'Gravy 259 Manchurian', 'price': '₹259'}, {'item': 'Ried Rice', 'price': '₹259'}, {'item': 'Gravy', 'price': '₹349'}, {'item': 'Gravy 279 Noodles 269', 'price': '₹329'}, {'item': 'Ler Cymkhan Box Veg Gymkhan Box Non Veg 329 329 349', 'price': '₹329'}, {'item': 'Ermelon Sugar Masala Chai 69 Nukkad Chai', 'price': '₹59'}, {'item': 'Ikka', 'price': '₹29'}, {'item': 'Ikka 297 Mere Pas Daal Hai', 'price': '₹29'}, {'item': 'Ikka 29 Axes', 'price': '₹229'}, {'item': 'Ikka 277 Oal Makhani', 'price': '₹29'}, {'item': 'Ikka', 'price': '₹279'}, {'item': 'Ar Mushroom 259 Ereek', 'price': '₹279'}, {'item': '39 Pel 297 Paneer Gravy 2 Veg Seekh Kabab', 'price': '₹279'}, {'item': 'Ikka', 'price': '₹279'}, {'item': 'Ikka Masala', 'price': '₹339'}, {'item': 'Ikka', 'price': '₹279'}, {'item': 'Er Chicken', 'price': '₹39'}, {'item': 'Ikka', 'price': '₹279'}, {'item': 'Haryal! Kabab', 'price': '₹279'}, {'item': 'Hai Green Curry 29 Dahl Kabab', 'price': '₹279'}, {'item': 'Hai Red Curry', 'price': '₹32'}, {'item': 'I Kabab 279 Baked Veggies 329 Soya Chaap', 'price': '₹279'}, {'item': 'Andoori Chicken', 'price': '₹399'}, {'item': 'Angd! Kabab', 'price': '₹329'}, {'item': 'On Seekh Kabab', 'price': '₹349'}, {'item': 'On Chaap 379 Mushroom Keema', 'price': '₹209'}, {'item': '! Kabab 379 Dal Dum Awdhi', 'price': '₹279'}, {'item': 'Ikka', 'price': '₹349'}, {'item': 'Il Milk Seek Kabab', 'price': '₹329'}, {'item': 'Uri Chicken', 'price': '₹327'}, {'item': 'On Gravy', 'price': '₹399'}, {'item': 'Ish', 'price': '₹249'}]","Chinese, North Indian",₹500 for two,4 • 195 in Google •,"CLOSED, OPENS AT 4:30PM","Reservation available, Free wifi, SwiggyPay accepted"
Duman Turkish Lounge,"113, 168, Chat Chauraha, Khalasi Line, Swaroop Nagar Near Biba Showroom, North Kanpur 208002",,"[{'item': '650 650', 'price': '₹650'}, {'item': '60 Mi 475 475 425', 'price': '₹400'}, {'item': 'E Rum Bacardi Black Rum Old Monk Dark Rum 60 Mi 325 325', 'price': '₹325'}, {'item': 'Y Camino Sauza Silver 60 Mi 525!', 'price': '₹550'}, {'item': 'Resh Lime Masala Coke 60 Mil', 'price': '₹120'}, {'item': '150 250 150!', 'price': '₹120'}, {'item': 'Uborg Beer Budweiser Breezer Beera Beer 500 Mj', 'price': '₹450'}, {'item': 'I Kebab', 'price': '₹500'}, {'item': 'Ore Your Meal', 'price': '₹350'}, {'item': 'E Jalapeno Poppers', 'price': '₹425'}, {'item': 'Corn And Chilli Cheese', 'price': '₹425'}, {'item': 'Ed Mushroom', 'price': '₹500'}, {'item': 'Ries', 'price': '₹350'}, {'item': 'Garlic Bread', 'price': '₹475'}, {'item': 'Yle Mein Dry Papad (2 Pcs)', 'price': '₹100'}, {'item': 'Masala', 'price': '₹200'}, {'item': 'Age Cheese Square', 'price': '₹500'}, {'item': 'H Mexican Salsa Bbq Sauce And Romesco Sauce Aoa Veggie Wrap 325 Chicken Espada', 'price': '₹650'}, {'item': 'H . Veg Salsa Garlic Oily Cheese Cigar', 'price': '₹425'}, {'item': 'H Mozarella Chicken Lolipope', 'price': '₹600'}, {'item': 'H Cheesie Baccho Aur Bado Ke Liye Grilled Chicken Legs', 'price': '₹600'}, {'item': 'H Conscious Crispy Chickens', 'price': '₹550'}, {'item': 'I Kebabs', 'price': '₹800'}, {'item': 'Ish', 'price': '₹600'}, {'item': 'Inger', 'price': '₹600'}, {'item': 'Ish & Chips', 'price': '₹600'}, {'item': 'Khaaa Mosssss Ssshhhh Dip Mexican Roll', 'price': '₹425'}, {'item': 'Hi Roll', 'price': '₹450'}, {'item': 'Awa Dahi Kebab', 'price': '₹450'}, {'item': 'Seekh Kebab', 'price': '₹450'}, {'item': 'Ikka', 'price': '₹450'}, {'item': 'Ikka', 'price': '₹475'}, {'item': 'Ikka', 'price': '₹500'}, {'item': 'Ghani', 'price': '₹600'}, {'item': 'Ikka', 'price': '₹575'}, {'item': 'On Seekh Kebab', 'price': '₹675'}, {'item': 'Ikka', 'price': '₹675'}, {'item': 'Chicken Mexican Pizzas', 'price': '₹450'}, {'item': 'A Veg', 'price': '₹425'}, {'item': 'Redo', 'price': '₹575'}, {'item': 'E (Pink', 'price': '₹575'}, {'item': '1G Paneer Shashlik Sizzler', 'price': '₹700'}, {'item': 'Ro Rice Veg Paprika Sizzler', 'price': '₹675'}, {'item': 'Er Naan', 'price': '₹100'}, {'item': 'Price Jeera Rice', 'price': '₹350'}, {'item': 'Eamed Rice', 'price': '₹225'}, {'item': 'Ed)', 'price': '₹350'}, {'item': 'Veg Hyderabadi Biryani', 'price': '₹500'}, {'item': 'Ed Kulcha', 'price': '₹130'}, {'item': 'Awadhi Dum Chicken Biryaniz', 'price': '₹575'}, {'item': 'Dum Biryani', 'price': '₹675'}, {'item': 'Ed Naan', 'price': '₹150'}, {'item': '9 Masala Kulcha 130 Boondi', 'price': '₹200'}, {'item': 'Ey Oreo 275 Peach', 'price': '₹300'}, {'item': 'Lemon', 'price': '₹300'}, {'item': 'Arwberry 275 Apple 300 Re Mango 275 Blueberry', 'price': '₹300'}, {'item': '- Kanpur Unjan Lounge Chilli Paneer 500 Kadhai Paneer 575 Schezwan Paneer', 'price': '₹575'}, {'item': 'Ikka Masala 575 Manchurian Paneer 425 Chana Pindi', 'price': '₹450'}, {'item': 'Rezi', 'price': '₹450'}, {'item': 'O 425 Mushroom Masala', 'price': '₹500'}, {'item': 'Ry Vi', 'price': '₹425'}, {'item': 'Ey Ves Baked Veg 500 Sram Hea Nue Spinach Corn Baked', 'price': '₹500'}, {'item': 'Adka', 'price': '₹350'}, {'item': '575 Dal Makhani 400 Chicken 65 575 Kadhai Chicken &', 'price': '₹600'}, {'item': 'Ried Rice Ss', 'price': '₹400'}, {'item': '450 Egg Curry', 'price': '₹425'}, {'item': 'Ry Noodles', 'price': '₹500'}, {'item': 'Er Chicken 600 Ovlic Chicken Noodles', 'price': '₹525'}, {'item': 'On Roghan Josh', 'price': '₹675'}, {'item': 'H Beans Backed Cheese Nachos 175 200 250 350 425 375 400 375 475', 'price': '₹425'}, {'item': 'Heavens 425 375 400 425 475 475 550 450 450 625 575 400', 'price': '₹575'}, {'item': 'I Garlic Naan Cheese Naan 575 575 475 400 425 425 600 600 600 650 700 700 325 325 350 110 200 220 220 125', 'price': '₹125'}, {'item': 'H Rabri 175 225 350', 'price': '₹300'}, {'item': 'Hd Ye Sunrise', 'price': '₹425'}, {'item': 'Y Belly', 'price': '₹425'}, {'item': 'Syrup Soda Cranberry Sour', 'price': '₹425'}, {'item': 'Soda Blue Angel', 'price': '₹425'}, {'item': 'Ermelon Cooler', 'price': '₹425'}, {'item': 'Ric Shock', 'price': '₹425'}, {'item': 'Riple Rain', 'price': '₹425'}, {'item': 'E Vergin Marry', 'price': '₹425'}, {'item': 'Reau Abi Be Chivas 18 Yrs Chivas', 'price': '₹12'}, {'item': ""Be 100 Piper'S 12 Yrs Black Dog"", 'price': '₹12'}, {'item': ""Eacher'S"", 'price': '₹50'}, {'item': 'S 550 550 600 550 60 Ml 1000 700 750 700 575 475 60 Mi 475 475 475 475', 'price': '₹475'}, {'item': 'Ails Heaving Way Special', 'price': '₹650'}, {'item': 'Ini Smash', 'price': '₹650'}, {'item': 'Ini', 'price': '₹650'}, {'item': 'H Cranberry Juice Lemon Juice Lemon Cello', 'price': '₹650'}, {'item': 'Blue Arrow', 'price': '₹750'}, {'item': 'Riple Sec B Bl Bombay Bramble', 'price': '₹750'}, {'item': 'He Beach', 'price': '₹650'}, {'item': 'Whisky Sour', 'price': '₹650'}, {'item': 'H Various', 'price': '₹650'}]","Chinese, North Indian",₹1200 for two,4.3 • 324 in Google •,"CLOSED, OPENS AT 1:30PM","Reservation available, SwiggyPay accepted"
Eclair - The Bakery Lounge,"117 H1/481, Pandu Nagar,Lajpat Nagar, Kanpur 208005",,[],Continental,₹600 for two,3.9 • 770 in Google •,"CLOSED, OPENS AT 9AM","Reservation available, Parking available, SwiggyPay accepted"
Fiesta by Barbeque Nation,"112/369, 2Nd Floor, Prabhu Krishna Shopping Complex, Near Prakhar Hospital, Khalasi Line, Swaroop Nagar Near Nexa (Ktl Pvt Ltd, Kanpur, Swaroop Nagar) North Kanpur 208002",,[],"Continental, North Indian",₹1300 for two,4.5 • 929 in Google •,"CLOSED, OPENS AT 12PM",Reservation available
Flavours,"107/73, Jawahar Nagar, Ashok Nagar Near Super Furniture, North Kanpur 208012",,"[{'item': 'Ried Rice', 'price': '₹70'}, {'item': 'Ing A Veg Momos (8 Pcs.)', 'price': '₹5000'}, {'item': 'Able Dping Ce Paneer Momos (8 Pcs.) &', 'price': '₹80'}, {'item': 'S Wasala Dosk', 'price': '₹70'}, {'item': 'Angy Samba Paneer Dosa -', 'price': '₹90'}, {'item': 'Age Eheose) Masala Ol Sambar (2 Pcs.)', 'price': '₹70'}, {'item': 'Ipam', 'price': '₹00'}, {'item': 'Lavors', 'price': '₹140'}]","Chinese, North Indian",₹400 for two,5 • 3 in Google •,"CLOSED, OPENS AT 11AM","Reservation available, SwiggyPay accepted"
Ganache - Patisserie & Tea Room,"Khalasi Line, Khalasi Line Mata Swaruprani Rd North Kanpur 208002",,"[{'item': 'Sauce', 'price': '₹280'}, {'item': 'Ies - Avocado', 'price': '₹350'}, {'item': 'H Poached Eggs 380 - Baked Cheese Mushroom', 'price': '₹280'}, {'item': 'Ies 250 Wed! Shakshuka Eggs', 'price': '₹280'}, {'item': '& Side Salad', 'price': '₹320'}, {'item': '(2 Pieces)', 'price': '₹220'}, {'item': 'Ed Caramel Crpes', 'price': '₹270'}, {'item': 'Sandwich (2 Pieces) - Sour Cream 230 - Egg & Cheese', 'price': '₹250'}, {'item': 'Le Oil', 'price': '₹370'}, {'item': 'H Smoked Salmon', 'price': '₹350'}, {'item': '- Ol School Masala 260 - Cheese Overload', 'price': '₹290'}, {'item': 'Wy - Spinach Garlic & Parmesan 280 Z - Chicken Sausage &Cheese 300 -Ham & Cheese 500 - Smoked Salmon', 'price': '₹400'}, {'item': 'Java Chip & Vanilla Ice Cream', 'price': '₹330'}, {'item': 'Ella Drip & Vanilla Ice Cream', 'price': '₹360'}, {'item': 'E Ganache', 'price': '₹280'}, {'item': 'H Herbed Crumbs. 625 Classic Cheesy Garlic Bread', 'price': '₹300'}, {'item': '330 We! Cheesy Chicken Sausage Gar.Ic Bread', 'price': '₹350'}, {'item': 'H Creamy Aioli Dip', 'price': '₹240'}, {'item': 'Ries', 'price': '₹280'}, {'item': 'Ried Beans And Chunky Guac', 'price': '₹320'}, {'item': 'Mix Salad And Spiced Creamy Dip. Spinach Pabagouille 360', 'price': '₹320'}, {'item': 'El Sliders Chicken Sliders 320 350 Oos Cheese Poppers', 'price': '₹260'}, {'item': 'Ish', 'price': '₹380'}, {'item': 'Ried Seasonal Beans', 'price': '₹400'}, {'item': 'Y Bread', 'price': '₹300'}, {'item': 'O & Cherry Comalo Veo! 1Galign Scyle Chin Garlic', 'price': '₹250'}, {'item': 'A Sauce 280', 'price': '₹300'}, {'item': ""'Classic Geek Salad"", 'price': '₹310'}, {'item': 'In A Balsamic Dressing', 'price': '₹400'}, {'item': 'Erranean Salad', 'price': '₹320'}, {'item': 'O Soup', 'price': '₹230'}, {'item': 'Chicken Soup', 'price': '₹260'}, {'item': 'Chup. 360', 'price': '₹320'}, {'item': 'Ard) 340', 'price': '₹370'}, {'item': 'Non Veg) 380', 'price': '₹320'}, {'item': '360 Wed! Mexican Queso (Veg.) Veo! Chipocle Chicken 340', 'price': '₹400'}, {'item': 'Ries & House Dips Wo! Mexican Chicken Burger', 'price': '₹350'}, {'item': 'Pickled Cucumber', 'price': '₹350'}, {'item': 'Resh Salad', 'price': '₹380'}, {'item': 'Ish Burger 380 Sidewark Special We! Molcen Cheese Burger', 'price': '₹330'}, {'item': 'English Cheddar & Parmesan', 'price': '₹360'}, {'item': 'Onion Rings & Garlic Sauce', 'price': '₹330'}, {'item': '75. Signacupe Spicy Spaghecei Wich Mbacballs', 'price': '₹520'}, {'item': 'Le Oil & Chives', 'price': '₹480'}, {'item': 'Parmesan Cheese & Pepperoncino Chilli', 'price': '₹400'}, {'item': 'Ables', 'price': '₹430'}, {'item': 'Reoo', 'price': '₹410'}, {'item': 'A Ravioli', 'price': '₹500'}, {'item': 'Cream & Parmesan. 410 We! Spinach & Con Canne.Ioni 480 Wo! Cilangpo & Lime Chicken Aglio Olio', 'price': '₹480'}, {'item': 'Ine 450 Wes! Ppawn Pisocco 580 Weo! Gnocchi In Spinach Cheese Sauce', 'price': '₹400'}, {'item': ""'Grilled Salmmon"", 'price': '₹690'}, {'item': 'Ish & Chips', 'price': '₹490'}, {'item': 'Wich Noodles', 'price': '₹490'}, {'item': 'Sauce', 'price': '₹480'}, {'item': 'Ee Espresso 120 Americano 120 150 180 Cappuccino', 'price': '₹180'}, {'item': 'Ado', 'price': '₹180'}, {'item': 'Eamed Milk 200 Yea! Cinnamon Spiced Cappuccino', 'price': '₹200'}, {'item': 'Classic Brewccino', 'price': '₹240'}, {'item': 'Java Chip Brewccino', 'price': '₹280'}, {'item': 'Caramel Brewccino 260 Double Choco Chip Brewccino', 'price': '₹270'}, {'item': 'E Brewccino 260 Yee! Cinnamon & Vanilla Creme Brewccino 260 Wed! Dark Mocha Brewccino', 'price': '₹280'}, {'item': 'Ure', 'price': '₹55'}]","Continental, Fast Food",₹800 for two,4.1 • 34 in Google •,"CLOSED, OPENS AT 10AM","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Glasshouse Cafe N Lounge,"PREMISES NO. 7/150-A-2, THIRD FLOOR, SWAROOP NAGAR, NAGAR NIGAM FOOD SAFETY ZONE-16, Kanpur Nagar, Uttar Pradesh-208001",,"[{'item': 'Ries', 'price': '₹199'}, {'item': 'Ries', 'price': '₹229'}, {'item': 'Ries', 'price': '₹249'}, {'item': 'Ries', 'price': '₹299'}, {'item': 'Ries', 'price': '₹349'}, {'item': 'Age Cheese Rolls', 'price': '₹369'}, {'item': 'Jalapeno Roll', 'price': '₹369'}, {'item': 'Lavour Spinach Cheese Cigar Roll', 'price': '₹379'}, {'item': 'Angy Maxhoni Gravy 299 349 369 359 389 389 379 389 389', 'price': '₹399'}, {'item': '! 549 579 579 599 589 629 679 679 679', 'price': '₹679'}, {'item': 'Chen 349 349 369 379 389 369 379 389 399 799 469 549 499 549', 'price': '₹599'}, {'item': ""'Baked Dishes Spinach Corn Baked Dish 449 Baked Veg Dish"", 'price': '₹469'}, {'item': 'Redo Lasagne', 'price': '₹499'}, {'item': 'A Lasagne', 'price': '₹489'}, {'item': 'Er Chicken Lasagne E', 'price': '₹499'}, {'item': 'Ion 389 449 489 489 499 529 529', 'price': '₹549'}, {'item': 'Ails Hares Mocha', 'price': '₹279'}, {'item': 'Aluda 319 Cucumber Chill', 'price': '₹249'}, {'item': 'Sllepanch', 'price': '₹249'}, {'item': '329 Say Odp C Rasbheri Rasmalai 329 Chilli Guava', 'price': '₹249'}, {'item': 'Rawberry Slush 269 Oreo 329 Pina Colada', 'price': '₹269'}, {'item': 'Iramisu Rum Shake 349 Mexican Red Bull', 'price': '₹299'}, {'item': 'Rawberry Cheese Cake 349 Couple Drink', 'price': '₹399'}, {'item': 'Ee 349 Prclarpixberry Lrish Creme', 'price': '₹349'}, {'item': 'Able Roll', 'price': '₹449'}, {'item': 'Empura Asparagus 499 Avacado Roll', 'price': '₹549'}, {'item': 'Eriyaki Chicken', 'price': '₹599'}, {'item': 'Ried Prawn Roll', 'price': '₹649'}, {'item': 'Una Roll', 'price': '₹649'}, {'item': 'Hakka Noodles 349', 'price': '₹399'}, {'item': 'Garlic Noodles 349 399 Chilli Garlic Noodles 349 399 Schezwan Noodles 349', 'price': '₹399'}, {'item': 'Ried Rice 349', 'price': '₹399'}, {'item': 'Ried Rice 349', 'price': '₹399'}, {'item': 'Ried Rice 349', 'price': '₹399'}, {'item': 'Ried Rice 349', 'price': '₹399'}]","Continental, Italian",₹800 for two,3.8 • 332 in Google •,"CLOSED, OPENS AT 2PM","Reservation available, Parking available, Free wifi, Smoking area, SwiggyPay accepted"
Haveli Restaurant,"120, School 192, Laxmi Ratan Colony, Lajpat Nagar, Shastri Nagar, Kanpur, Uttar Pradesh",,[],North Indian,₹1100 for two,4.1 • 6K+ in Google •,"CLOSED, OPENS AT 11AM","Parking available, Free wifi, SwiggyPay accepted"
Hichkii Fine Dine Restaurant,"Plot No. 1, 7/145, Swaroop Nagar Near Chandani Street North Kanpur 208002",,"[{'item': 'Non-Veg 140', 'price': '₹165'}, {'item': '215', 'price': '₹175'}, {'item': '225 175', 'price': '₹165'}, {'item': '215 240 200', 'price': '₹200'}, {'item': '250', 'price': '₹175'}, {'item': '225 190 225 215 325 200 290 375 250 270 225', 'price': '₹250'}, {'item': 'Ull', 'price': '₹375'}, {'item': '625', 'price': '₹440'}, {'item': '750', 'price': '₹375'}, {'item': '625 425 450 425 450 425 400 450 500 625 500 540 500 565 340 350 340 345 350 340 265 350 350 340', 'price': '₹350'}, {'item': 'Gravy) Chicken', 'price': '₹65'}, {'item': 'Ried Rice 315 415 425 475 400 315 425 415 440 440 440 375 340 340 350 350 300 300 340', 'price': '₹350'}, {'item': 'Gravy) Paneer', 'price': '₹65'}, {'item': 'Gravy) Chilli Babycorn Veg', 'price': '₹99'}, {'item': 'Ried Rice Veg Chilli Garlic Noodles Veg Singapore Noodles Veg Hakka Noodles Veg Noodles 275 250 240 365 350 250 350 350 375 375 350 350 240 325 350 275 290 315 240 265 215 225', 'price': '₹215'}, {'item': 'Nonveg)', 'price': '₹340'}, {'item': 'Nonveg)', 'price': '₹275'}, {'item': 'I Ogilvie Olive', 'price': '₹325'}, {'item': 'A 375 Chicken Chicken Mughlai', 'price': '₹490'}, {'item': '810 Chicken Angara', 'price': '₹490'}, {'item': 'Ka (6Pcs.)', 'price': '₹625'}, {'item': 'Er Chicken', 'price': '₹490'}, {'item': '810 Kadhai Chicken', 'price': '₹490'}, {'item': '810 Chicken Do Pyaza', 'price': '₹465'}, {'item': '750 Chicken Rara', 'price': '₹490'}, {'item': '810 Chicken Saagwala 500 Chicken Lababdar (Boneless)', 'price': '₹500'}, {'item': 'Ew (Boneless)', 'price': '₹490'}, {'item': '810 Chicken Salami Curry (Boneless) 500 Chicken Kali Mirch', 'price': '₹490'}, {'item': '810 Egg Curry (4Pcs.)', 'price': '₹315'}, {'item': 'On Rogen Josh', 'price': '₹565'}, {'item': 'On Handi (5Pcs.)', 'price': '₹750'}, {'item': 'Ew 565 Keema Kaleji', 'price': '₹500'}, {'item': 'On Rara', 'price': '₹625'}, {'item': 'Ish Curry', 'price': '₹465'}, {'item': 'Ish Masala', 'price': '₹490'}, {'item': 'Ish 478', 'price': '₹500'}, {'item': 'A 325 400 400 500 245 250 275 125 150 175 190 215 240 240 115 165 235 220', 'price': '₹150'}, {'item': 'Ar Mushroom 375 350 350 365 440 365 350 350 365 360 350 365 365 350 350 365 335 375 350 350', 'price': '₹340'}, {'item': 'E) 390 350 340 350 300 275 275 290 350 350 365 330 345 345 365', 'price': '₹340'}, {'item': 'E Gulab Jamun (2Pcs.) 82 115 110 50 95 100 125 100 140', 'price': '₹100'}, {'item': 'Ra Icecream 200 200 200 190 215 200 190 215 240 225 215 225 200 225 225 290 290 190 275 325 225', 'price': '₹25'}, {'item': 'Blue Lagoon Cranberry 200 165 165 165 200 200 225 190 200 165 190', 'price': '₹200'}]","Chinese, North Indian",₹800 for two,4.5 • 20 in Google •,"CLOSED, OPENS AT 12PM","Reservation available, Parking available, SwiggyPay accepted"
High Storey,"The Pristine Hotel, GT Road, Harsh Nagar, Kanpur, Uttar Pradesh",,[],Continental,₹1000 for two,-- • too few ratings •,"CLOSED, OPENS AT 4PM","Alcohol served, SwiggyPay accepted"
Kapai Coffee House and Bistro,"Plot No 117/H-1/62A, Model Town, Pandu Nagar, Kanpur, Uttar Pradesh",,[],Italian,₹1000 for two,4.5 • 354 in Google •,"CLOSED, OPENS AT 12PM","Vegan food, Parking available, Free wifi, SwiggyPay accepted"
Khadak Singh Da Dhaba,"120/920 A, Guru Teg Bahadur Road, Near Marium School, Ranjeet Nagar, Shastri Nagar Near Medcare Medical & Surgicals Central Kanpur 208002",,"[{'item': '6666', 'price': '₹6066'}, {'item': '6696460644466', 'price': '₹668'}, {'item': '6666', 'price': '₹6646'}, {'item': 'H Iiss Ees Iscasapen 179 Chicken Shorba', 'price': '₹119'}, {'item': 'N Sour Soup... 119 Manchow Soup', 'price': '₹179'}, {'item': 'Corn Soup... I 119 Clear Veggies Soup', 'price': '₹179'}, {'item': '(Serves', 'price': '₹23'}, {'item': '199', 'price': '₹299'}, {'item': '185', 'price': '₹279'}, {'item': 'Ikka.......... A', 'price': '₹185'}, {'item': 'Yle...... A 185', 'price': '₹9279'}, {'item': 'Andoori . B 185279 Malai Soya Chaap 185 279 Makhmali Dahi K Kebab... 99', 'price': '₹8629'}, {'item': '299 Hara Bhara Kebab 99', 'price': '₹8929'}, {'item': '299 199 259 399', 'price': '₹395'}, {'item': 'Ed Mushroom Rahiool 209', 'price': '₹325'}, {'item': 'Ikka 209', 'price': '₹325'}, {'item': 'Imi Icra Meme', 'price': '₹2093'}, {'item': '&. Ooo Oooo Oooo', 'price': '₹66'}, {'item': 'H A Small', 'price': '₹150'}, {'item': 'Cheese)', 'price': '₹45'}, {'item': 'Jungle!', 'price': '₹49'}, {'item': 'E Ad', 'price': '₹69'}, {'item': 'Ha...N.Eessssisemeen', 'price': '₹59'}, {'item': '6996', 'price': '₹66'}, {'item': '64O40606', 'price': '₹0302'}, {'item': 'Oom Oo', 'price': '₹6009'}, {'item': 'Ol Lee Meooee Oo', 'price': '₹6666'}, {'item': '6666', 'price': '₹0664'}, {'item': 'Ged Kadai Chicken Ed) Lehsuni Chicken Gravy', 'price': '₹279'}, {'item': 'Awa Chicken 279 Handi Chicken...... 279 Chicken Dahiwala 279 Chicken Saagwala Sous', 'price': '₹20'}, {'item': 'Ikka', 'price': '₹329'}, {'item': 'Eee', 'price': '₹339'}, {'item': 'Andoori Chicken............. Om Os )', 'price': '₹549'}, {'item': 'Andoori Chicken', 'price': '₹585'}, {'item': 'M En Ennenrnnen 335', 'price': '₹599'}, {'item': 'Nenie 249', 'price': '₹475'}, {'item': 'Eceresnneee 275', 'price': '₹499'}, {'item': 'A Ee', 'price': '₹199'}, {'item': 'Ried Chicken Hale (4) A Bme Chicken Loinypop Enneennnnnnnnnnnnnnnnen', 'price': '₹299'}, {'item': 'Ish) .Enncmeneeenenene 525', 'price': '₹975'}, {'item': 'Ish) ..Sseemesnneeemeaeee', 'price': '₹975'}]","Middle Eastern, North Indian",₹1000 for two,3.8 • 96 in Google •,"CLOSED, OPENS AT 12PM","Reservation available, Parking available, Pet friendly, Smoking area, SwiggyPay accepted"
Khan Baba,"Nadari Market Building, Chat Chauraha, Khalasi Line, Swaroop Nagar Near State Bank Of India - Swaroop Nagar Branch North Kanpur 208001",,"[{'item': 'Inish On Dum. X', 'price': '₹329'}, {'item': '389', 'price': '₹2139'}, {'item': 'Ed Spices', 'price': '₹269'}, {'item': 'A P', 'price': '₹89'}, {'item': 'A Z', 'price': '₹49'}, {'item': 'Resh Lime Soda Z', 'price': '₹79'}, {'item': 'Awa Paneer Roll', 'price': '₹89'}]","North Indian, Fast Food",₹700 for two,4 • 365 in Google •,"CLOSED, OPENS AT 2PM","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
