Restaurant Name,Location,Cuisine,Price,"Ratings(Dining, Delivery)",Operating Hours,Menu,More Info
Mithaiwala's,"Gooba Garden Road, Kalyanpur Near Dwivedi Hospital, West Kanpur 208017",Fast Food,₹400 for two,4.5 • 2 in Google •,"CLOSED, OPENS AT 11AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699648303/fc11a6c5af36e76568cc6e6bc78af424.jpg","Reservation available, SwiggyPay accepted, Pure veg"
Artisans bakery,"117/Q, 173 Abc, Sharda Nagar Road, Gurudev Palace, Sharda Nagar, Kakadeo Near Oyo Hotel Emerald P G H Prayag Guest House North Kanpur 208025","Continental, Italian",₹500 for two,3.5 • 4 in Google •,OPEN TILL 11:59PM,"https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/31/5c0edeb0-0337-4eb7-8ea1-aaca8663a6c9_20240331T113134091.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/31/34a03ae7-6f2e-44a9-8da5-903a2fa3b6d2_20240331T113134576.jpg","Reservation available, Parking available, Valet parking, Free wifi, SwiggyPay accepted"
The Bella's Co.,"117.444, L Block, Navin Nagar, Kakadeo, Kanpur, Uttar Pradesh",Chinese,₹1000 for two,4.9 • 19 in Google •,"CLOSED, OPENS AT 9AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/24/5144e2d5-4bce-4ec3-9227-a69ab0fd7205_image113e8eff4fc074b228a800da9d90d75ac.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/24/334c5a47-4d05-46a0-802a-c442bb7bfaaf_image2f3f4b3073a83419fa1c98798e1d24d42.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/24/a2b12ee8-14a7-4baf-9bee-1c62188f88c1_image44d53347d3b6248a894ef442193b5306c.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/24/33f3ed17-cc6a-468b-8d5c-481c9975b4bb_image192002f4dca25e4da2a27788582f5d367b.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/24/be26db84-b63c-4191-a86c-d3f18c524e29_image74564642aed4a4863bc9e3ff6a6e7d4b3.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/24/406fc5db-686e-4767-90d2-116529eef900_image173d44c9ede3b444009663b8083a029f90.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/24/bf5386de-8646-469c-9fc1-bed1b7ffda8e_image216d59cd589921405d8d4e14f39bfc84e4.JPG","Vegan food, Free wifi, SwiggyPay accepted"
Chai Garam pocket Cafe,"Plot No.117.444, L Block, Navin Nagar, Kakadeo, Kanpur, Uttar Pradesh",Chinese,₹700 for two,4.1 • 244 in Google •,"CLOSED, OPENS AT 10AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/22/d541183f-2453-4fe6-a4ed-d7aa39095d4d_image1e6076aeaa8aa4c72bb7ece682eadaf63.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/22/d7e56658-5395-4852-bfa4-9fa9b312e7f6_image56763eed8086348fbaef0293369bc8476.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/22/1bb794b9-8873-43aa-926b-2da051cfc8e7_image1373b7de48c7b0430dbd3d61ae52a499ad.JPG","Parking available, Free wifi, Smoking area, SwiggyPay accepted"
Eclair - The Bakery Lounge,"117 H1/481, Pandu Nagar,Lajpat Nagar, Kanpur 208005",Continental,₹600 for two,3.9 • 770 in Google •,"CLOSED, OPENS AT 9AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/9/25/0fe69f48-bf5c-4b96-af58-aea61f1b2b34_image8dbbd8b9aa53d4f6bb8b26f0399a7052c.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/9/25/24f71430-0456-41ca-ad3c-60d2bc0d4aad_image37f41172cbe464cdfae647b30cd5b325a.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/9/25/442be08c-bea9-4eac-950c-5feb19eebacf_image0da0008e3bc774b01bfbef9baceb2c288.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/9/25/a068f4b0-2acf-4ac4-895f-62892f21517a_image4e8d57ab68c624e3a8235cf95a4a01787.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/9/25/24bf7e5f-88e8-45f2-95f4-f2a1e123b173_image98e4ee5dd8b64481987408305abc268e6.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/9/25/e43c75c4-3f26-4eb7-92a0-5963d81e8cd7_image13092f5c2ec52c43e7a52d423e3c94ee62.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/9/25/f95912a2-ce7e-4982-838f-eefe57236401_image7cbbded60a11c407f9ef5a5f13996bef9.JPG","Reservation available, Parking available, SwiggyPay accepted"
Omnia By Bang Bang,"117/Q/173 Abc, Gurudev Chauraha, Gurudev Palace, Khyora Near Dng The Grand Hotel, Banquet Hall (Weddingz.In Partner) West Kanpur 208024","Chinese, North Indian",₹1400 for two,4.1 • 359 in Google •,"CLOSED, OPENS AT 11AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/55ee541c-6d0b-42a2-8ad2-3eddb637cf3e_20240401T090155072.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/78058117-2c31-47a7-8432-fb1d66b36669_20240401T090155372.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/8c7193bf-59bd-4bca-9c67-ebc09ebee20c_20240401T090155764.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/9b6ce5d9-0eee-404a-89db-b5fb5dcea448_20240401T090156131.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/edf653bb-2a6e-4918-b19c-5084fc539bcb_20240401T090156526.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/a570c224-3b37-4ea2-9e9e-27848fe61030_20240401T090156911.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/07573269-9459-4773-adcf-68cec4aac809_20240401T090157260.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/5ab3fb9b-7576-4970-83d6-e40ca10d1e72_20240401T090157661.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/36e55266-5f41-4e02-ac65-a5e814575863_20240401T090158032.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/1/9212325a-450f-4e88-82c5-54e0ef69d675_20240401T090158435.jpg","Reservation available, Parking available, Valet parking, Free wifi, SwiggyPay accepted"
Masala Grill,"Hotel Dng Grand, 3Rd Floor, 117/Q/173, Sharda Nagar Road, Swaroop Nagar Near Training Institute North Kanpur 208025","Chinese, North Indian",₹1400 for two,3.9 • 50 in Google •,"CLOSED, OPENS AT 12PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/02e32db5-1dc4-4607-98d1-83dac67a5bd5_20240419T093009729.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/45af7155-11fe-4ef6-ab3e-1c5f074053c7_20240419T093010069.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/381eae43-99b7-4f6f-a456-86597866cca4_20240419T093010473.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/8c6caeec-0043-4807-bfcb-f96943d02154_20240419T093010863.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/4d2c2d58-b881-408c-a465-8662397baa88_20240419T093011237.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/8b8ab570-9ca8-403d-8dc3-b7e6f452a638_20240419T093011634.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/97a57546-c18e-4c3c-a9b4-d2a2a294bb37_20240419T093012035.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/e4642e04-c792-43bc-8e12-1978508086d8_20240419T093012408.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/50797a98-311a-4f00-b05b-a9892cf7ac15_20240419T093012794.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/70e5adf7-1825-40d7-a1aa-80d52241e634_20240419T093013166.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/aca83d11-4c81-4cdd-a006-23fd5321b506_20240419T093013574.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/a7611a2b-4fd0-495b-8b37-ec7c0c90dc3d_20240419T093013918.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/aad92fdb-83d6-4de7-bcdb-3dab443cebcc_20240419T093014271.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/3a963ed8-43a9-42cd-8acd-5d2a3c8d1c73_20240419T093014648.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/85196f06-484b-4437-892f-a207ca67ba06_20240419T093015028.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/19/81594826-a204-43f2-965c-5a5bc9106cfe_20240419T093015393.jpg","Reservation available, Parking available, Valet parking, Free wifi, SwiggyPay accepted"
Zouk Air Bar,"117/Q/173 Abc, Sharda Nagar Road, Armapur Estate Near Dulichand Batasha Wala West Kanpur 208025","Asian, North Indian",₹1200 for two,4.2 • 180 in Google •,"CLOSED, OPENS AT 4PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/04733ba4-c841-407a-ac0b-10e061dae47e_20240405T130101839.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/b26aeb4c-a467-4358-9744-060cd446e2e2_20240405T130102451.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/8da62595-0a6e-4bab-9a9c-8136a1581c12_20240405T130103175.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/77eb8d70-ea62-453a-8b1c-accedb6452de_20240405T130103937.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/08f19b33-bb21-4a2c-8b47-5b9809bdfd24_20240405T130104598.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/f2c7bdb1-1b5d-4f05-8554-215e10999392_20240405T130105122.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/8bd58710-e759-42a8-8b20-43f0e55c733d_20240405T130105650.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/ae615c49-5469-43c3-9e2f-75e122b6baed_20240405T130106201.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/bccf9377-faa8-4cda-8e14-ac18843d41ed_20240405T130106806.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/b3eb4158-8f8b-46ee-b80f-b0abc3c4a629_20240405T130107343.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/4/5/6228870d-d465-4716-ab90-206ff39bddac_20240405T130107976.jpg","Alcohol served, Reservation available, Parking available, Valet parking, Free wifi, SwiggyPay accepted"
Miyabi,"Gurdev Palace, 181-184, GT Road, Lakhanpur, Sharda Nagar North Kanpur 208024",North Indian,₹1000 for two,3.8 • 12K+ in Google •,"CLOSED, OPENS AT 9AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/29/c2eb3f3b-af3f-49e5-99d2-1ddb67bafb83_20240829T123050419.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/29/6bdb7261-4ca5-45be-9d48-a36a8a8837f5_20240829T123050702.jpg","Reservation available, SwiggyPay accepted"
Lush Bar And Cafe,"Gt Road, Near Vastra Bhawan, Near Gurudev Palace, Sharda Nagar, Jajmau Sub Metro City Near Union Bank Of India Atm East Kanpur 208014","Chinese, North Indian",₹1200 for two,4.4 • 95 in Google •,"CLOSED, OPENS AT 12PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372054/defc78c66a635c82de2a4ee12a0ae844.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372063/40c25ca18d914eb64010f85828066e50.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372071/c3c2b7653caab14ffd7f69d065badf17.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372079/3da1db8637511059092d68799dec0359.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372087/1d1028e437e151e90ea6cc50fb6848d0.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372095/e590768ea4ce8f70013a993b4932955e.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372103/5e54bdc022381131590c7d5015d5b6ea.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372112/10dccb6a14c6c4098974a4bf73b05a8f.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372120/2edbe4f847688886d9301d9ca5107fb1.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372127/c9dc0d683af904289d805e2fe40ab45a.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372135/8b6249c0b4452342e531a3deafcdc0be.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1707372142/38d4ac032dd4f920ee74c103f3256c37.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/9/a4469baa-65eb-4cf1-a3de-7c45993512e8_image0a1a4facdc6a74806b854966dd04b4a12.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/9/ed8b2ced-8d3b-4801-a47e-63ce5b1e14e5_image1455a27a159684bdc89bd329942974c73.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/9/6370de4d-84c0-4fa4-924a-1237f0d2ff35_image273f0471e4def45fbb923014aa2b701d8.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/9/7efe2e17-925e-47b0-973d-4f1df76ea3a5_image3423c5532497e475b8d83265bcf5f2bf4.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/9/f7978536-49c7-4f79-89b0-6c6b5574d69c_image4e371be99ad524368a95007bef6a7e199.JPG","Alcohol served, Reservation available, Parking available, Valet parking, Free wifi, SwiggyPay accepted"
Big Smokin Burgers,"120/868-B Ranjeet Nagar, Lajpat Nagar Central Kanpur 208027",American,₹700 for two,4.2 • 52 in Google •,"CLOSED, OPENS AT 11AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/29/28dbd109-26c3-421f-8a45-aca051c7bcd2_20240729T153107373.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/29/e96e7539-7cd7-416f-b711-bfab8cf9f575_20240729T153107710.jpg","Vegan food, Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Khadak Singh Da Dhaba,"120/920 A, Guru Teg Bahadur Road, Near Marium School, Ranjeet Nagar, Shastri Nagar Near Medcare Medical & Surgicals Central Kanpur 208002","Middle Eastern, North Indian",₹1000 for two,3.8 • 96 in Google •,"CLOSED, OPENS AT 12PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/beff5a96-9a65-4610-9fb2-17122eb7d9fe_20240329T143219219.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/b72e306b-cdf4-4aa9-8ac1-0c0f292d8dd3_20240329T143219905.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/9d2dcd00-12d7-4a2c-9b43-45a6c01231dc_20240329T143220322.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/f361f0d2-786c-4b3a-92cd-295f34f7db54_20240329T143220966.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/e4c2b5bb-bb86-48c0-a880-99f63abb4d52_20240329T143221433.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/b58be804-a859-4c63-8a12-9727b63d37a2_20240329T143222163.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/846f44cb-b39a-4beb-8f14-37600be98f1a_20240329T143222988.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/74781b31-10fa-4594-8e2d-44d0183f1277_20240329T143223656.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/605b833b-cc66-4f6c-b795-8cd2a3710506_20240329T143224338.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/385c75dc-8872-4944-8984-84f93094bacc_20240329T143224971.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/fbbe4041-a423-4a33-a159-e61aca2f6cb8_20240329T143225470.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/3/29/2ec66744-fd3b-4bd3-9acf-63828e9355e3_20240329T143225852.jpg","Reservation available, Parking available, Pet friendly, Smoking area, SwiggyPay accepted"
